id,title,title_ar,title_fr,country,education_level,grade,stream,stream_name,subject,subject_name,content_type,year,session,term,source_name,source_url,file_url,file_type,language,has_solution,solution_url,estimated_pages,estimated_questions,topic,topics,skills,difficulty,source_type,rights_status,quality_status,duplicate_of,alternate_sources_count,notes,discovered_at
"shater-bac_official-2026-sciences_exp-math-49334","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2026 (2026)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2026","Mathématiques - BAC 2026 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2026,"regular","","DzExams","https://www.dzexams.com/ar/annales/YmRvajlpM0FOWVQ3TFBGLys5alhTUT09","https://www.dzexams.com/viewer/sujet/YmRvajlpM0FOWVQ3TFBGLys5alhTUT09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/YmRvajlpM0FOWVQ3TFBGLys5alhTUT09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2026;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.852Z"
"shater-bac_official-2025-sciences_exp-math-47608","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2025 (2025)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2025","Mathématiques - BAC 2025 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2025,"regular","","DzExams","https://www.dzexams.com/ar/annales/WHpLU01Ec245K1dBUmVJaHZiTlpxdz09","https://www.dzexams.com/viewer/sujet/WHpLU01Ec245K1dBUmVJaHZiTlpxdz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/WHpLU01Ec245K1dBUmVJaHZiTlpxdz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2025;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.853Z"
"shater-bac_official-2024-sciences_exp-math-40694","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2024 (2024)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2024","Mathématiques - BAC 2024 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2024,"regular","","DzExams","https://www.dzexams.com/ar/annales/TVlkTGlEZHZwZzM5N0R4NlFLSmF2dz09","https://www.dzexams.com/viewer/sujet/TVlkTGlEZHZwZzM5N0R4NlFLSmF2dz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/TVlkTGlEZHZwZzM5N0R4NlFLSmF2dz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2024;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2023-sciences_exp-math-32238","موضوع الرياضيات - شعبة ع ت - شه��دة البكالوريا 2023 (2023)","موضوع الرياضيات - شعبة ع ت - شه��دة البكالوريا 2023","Mathématiques - BAC 2023 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2023,"regular","","DzExams","https://www.dzexams.com/ar/annales/OFFlSUFWY0VLdWlDY0grOGNXUnhCdz09","https://www.dzexams.com/viewer/sujet/OFFlSUFWY0VLdWlDY0grOGNXUnhCdz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/OFFlSUFWY0VLdWlDY0grOGNXUnhCdz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2023;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2022-sciences_exp-math-27556","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2022 (2022)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2022","Mathématiques - BAC 2022 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2022,"regular","","DzExams","https://www.dzexams.com/ar/annales/WkMvMGQzUE85OWRKem1HV3BGdElkQT09","https://www.dzexams.com/viewer/sujet/WkMvMGQzUE85OWRKem1HV3BGdElkQT09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/WkMvMGQzUE85OWRKem1HV3BGdElkQT09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2022;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2021-sciences_exp-math-260","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2021 (2021)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2021","Mathématiques - BAC 2021 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2021,"regular","","DzExams","https://www.dzexams.com/ar/annales/Ym81V2Z4bG9CSGlUZjlwTXJDUzdKUT09","https://www.dzexams.com/viewer/sujet/Ym81V2Z4bG9CSGlUZjlwTXJDUzdKUT09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/Ym81V2Z4bG9CSGlUZjlwTXJDUzdKUT09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2021;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2020-sciences_exp-math-261","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2020 (2020)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2020","Mathématiques - BAC 2020 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2020,"regular","","DzExams","https://www.dzexams.com/ar/annales/YmNEMVFyRWtyd21YZnNyRUlIK3Nwdz09","https://www.dzexams.com/viewer/sujet/YmNEMVFyRWtyd21YZnNyRUlIK3Nwdz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/YmNEMVFyRWtyd21YZnNyRUlIK3Nwdz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2020;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2019-sciences_exp-math-262","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2019 (2019)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2019","Mathématiques - BAC 2019 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2019,"regular","","DzExams","https://www.dzexams.com/ar/annales/a0xucWMyUVk0MHYwclNQU2NkY2Yrdz09","https://www.dzexams.com/viewer/sujet/a0xucWMyUVk0MHYwclNQU2NkY2Yrdz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/a0xucWMyUVk0MHYwclNQU2NkY2Yrdz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2019;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2018-sciences_exp-math-263","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2018 (2018)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2018","Mathématiques - BAC 2018 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2018,"regular","","DzExams","https://www.dzexams.com/ar/annales/dDExUEVPbkwzVlptemQ3dVZDMkcrQT09","https://www.dzexams.com/viewer/sujet/dDExUEVPbkwzVlptemQ3dVZDMkcrQT09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/dDExUEVPbkwzVlptemQ3dVZDMkcrQT09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2018;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",2,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.854Z"
"shater-bac_official-2017-sciences_exp-math-264","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2017 (2017)","موضوع الرياضيات - شعبة ع ت - شهادة البكالوريا 2017","Mathématiques - BAC 2017 (Sciences Expérimentales)","DZ","secondary","3AS","sciences_exp","علوم تجريبية","math","الرياضيات","bac_official",2017,"regular","","DzExams","https://www.dzexams.com/ar/annales/NDV2Y3N1eFZMdmNTY0dJSFAyOFV0Zz09","https://www.dzexams.com/viewer/sujet/NDV2Y3N1eFZMdmNTY0dJSFAyOFV0Zz09","pdf","ar",TRUE,"https://www.dzexams.com/ar/annales/NDV2Y3N1eFZMdmNTY0dJSFAyOFV0Zz09",4,8,"الرياضيات - علوم تجريبية","الرياضيات;علوم تجريبية;بكالوريا 2017;امتحان رسمي","needs_mapping","standard_bac","education_platform","official_public_reference","verified","",3,"Verified against authentic Algerian educational curriculum repository.","2026-09-19T01:55:49.855Z"
